BTC,ETH,SOL
27934.43871284895,1866.6575447874154,20.483785300410602
27968.12804705512,1851.0506710706206,20.042581304598304
28351.23699385011,1859.9403872878142,20.30433669084828
29657.974136873556,1909.8820609415914,20.875123146348265
30260.93610940865,1892.938911069582,23.005654690114106
29904.138694718906,1920.2230311931223,23.830532666421693
30405.027312781145,2012.785415162006,24.42771024521707
30468.40870059078,2102.9461882949076,24.77371399717611
30312.16187965924,2093.166331331955,24.076086968961334
30304.807514785844,2118.5987891538853,25.295764682293626
29467.459829260344,2077.5356646371833,24.582472271741043
30365.904167541412,2103.2788135921514,24.828831956308186
28833.217501221105,1936.4259207983632,22.66921834829298
28255.57824866478,1943.4355981925776,22.17878507364592
27300.157128515566,1850.1497384242152,21.256329975789992
27861.640663476548,1877.5413280611456,21.85149833032492
27606.578347653143,1863.6391422142244,21.49927294670662
27511.635682161308,1842.6307920871575,21.388123623341926
28351.218248373007,1870.5652231230274,21.93961247225034
28352.19132059668,1867.5893250124868,21.25624752923348
29483.52170499186,1910.456779102895,22.337864023679735
29339.99499754935,1894.4280839501073,23.374818189016118
29217.944046809913,1905.2738522732104,23.12840167422879
29362.056213625394,1885.3919353369215,22.998321615708303
28125.501155636823,1832.725799406749,22.00748575266789
28654.390133326717,1870.828572787594,22.262824662378538
28988.320996249273,1903.7282107352776,22.21964186016809
28846.461458608057,1877.4011950525364,21.741800973800856
29520.322268970496,1993.6129657474344,22.81860623219127
28887.741045523366,1900.410599025731,21.986706406341238
28611.439197614574,1895.2301480548908,22.002452285817817
27696.76078562556,1849.2886295625283,20.65668464098513
27607.39168091902,1846.0642640231483,20.656981167558687
27639.73356593586,1842.865558834664,20.975704627626367
27024.76572929978,1798.0719455262627,20.25440267119237
26787.69039591833,1808.6949999015692,20.920162303818756
26798.126271474703,1797.1994701376498,20.899582667518416
26911.805273213893,1799.0086586150053,20.936961536705592
27227.793422558792,1820.0447595407188,21.037748291765592
27022.713173921147,1823.6630183475188,20.686212717829434
27389.971511442203,1821.050634709663,21.058205359893172
26842.95249471792,1802.3909554834493,20.34519578780548
26884.371059589947,1812.1317035605853,20.351526847180452
27093.79110149735,1818.9695295035847,20.269684813481774
26773.83024366478,1804.9290671072804,19.630800782887565
26869.686021790778,1818.4014644980855,19.558762789709252
27222.937746603853,1854.1931182731782,20.04690938871374
26338.948946998687,1800.736010305837,19.214323127332815
26475.607902534273,1805.8057604056937,19.25614469626469
26717.987553571777,1828.9565366197276,19.36699951306376
26848.23993959246,1830.3066513168976,20.405231600621736
28110.313467609285,1913.8162493165785,20.815122816700484
27759.746663920676,1893.7142740897043,20.57365784393182
27713.908547529507,1901.078310164527,21.24838739611184
27245.474465179723,1874.694885027078,20.82042686685682
26824.10149951678,1861.7253869476187,20.512888560566594
27247.74008145703,1907.2123218510073,21.257126169627412
27066.371328526235,1892.0781764647577,21.148206267732874
27315.447587487684,1893.178280382087,21.869750120036684
25792.6160902334,1813.6816549003997,20.082497255511015
27216.61556469773,1883.2425846255821,20.399316366367188
26346.244545137633,1832.3204025034538,18.64940911323256
26507.90989220298,1846.0300017820573,18.91886786249937
26469.581684007026,1839.2080126581927,17.319852048307002
25858.12289218562,1754.6732284106363,15.712291030595962
25916.57989637981,1751.7245965042496,15.552165715300829
25910.362742919464,1742.5960525666158,15.219121441698295
25872.20645879509,1736.7894371674618,14.996084137168715
25107.754695880594,1650.6766675535464,14.511891316589251
25564.599632887144,1664.9774623940225,14.741774826096673
26327.3256694539,1716.3772810928574,15.305652843805758
26501.044442233673,1726.3728097349979,15.626354272653252
26333.092529664373,1719.2731615068672,15.434485233897272
26779.387461522838,1734.7931034426633,16.038762253116875
28330.891419807507,1790.1904407317654,16.625143403026637
30101.764819488686,1892.899571916819,17.263202092310653
29935.632106749556,1874.1779470167141,16.645392580230443
30629.24435333575,1891.3450080216778,17.100927585909893
30537.816664634793,1875.0599619284883,16.63062758389679
30454.75697441562,1899.1473121046054,16.96011970924781
30285.50506407074,1859.8024196427973,16.284012804480415
30693.54635606798,1890.0129037837075,16.60408750457774
30083.477245263824,1828.4583364007253,15.996424735598712
30466.610456893526,1853.4452458749938,17.998439800632905
30480.781481944465,1934.0457142617754,18.93035984897103
30583.619599697537,1924.5672408676514,18.612769704794168
30571.887072871446,1933.9598813832074,19.44673332510388
31134.713133508405,1953.7811276489165,19.20521438307814
30775.624022375305,1937.0004255391354,19.218958872995298
30484.79377442352,1910.5052605097412,18.972151107472232
29990.055151220247,1855.4747836363103,19.919047781939852
30315.26540235163,1869.317187141899,21.43877643006556
30264.19734525722,1864.8685919146383,21.896701111607186
30169.87065747925,1866.9167424803986,21.351397376477994
30394.28114637557,1875.2742726720535,21.302647128052204
30620.81424697801,1875.8658719294942,22.068233989934726
30407.41631435991,1873.5068153773982,21.997627799970363
31446.0149710716,2003.253616074307,25.990368470421153
30311.827808130518,1935.9402407442033,26.708371434451514
30297.971400125534,1931.389384157173,27.351375942539022
30237.334785146097,1923.0359898160434,27.365079998210923
